Number,Sentence
0,이__05/MM 넥타이/NNG 는/JX 수제품/NNG (으)로/JKB_FNS 우리나라/NNG 에서/JKB 는/JX 하나/NR 밖에/JX 없/VA 습니다/EF
1,모든/MM 주장__03/NNG 이/JKS 나름/NNB 대로/JKB 의/JKG 근거/NNG 를/JKO 갖추/VV 고/EC 있/VX 다/EF
2,멍멍/XR 하/XSA ᆫ/ETM 채__09/NNB (으)로/JKB_FNS 시간__04/NNG 이/JKS 흘러가/VV 았/EP 다/EF
3,만찬/NNG 시/NNB 에/JKB 는/JX 반주__08/NNG (으)로/JKB_FNS 마주앙/NNG 이/JKS 나오/VV ᆫ다/EF
4,아내__01/NNG 의/JKG 얼굴/NNG 이/JKS 절망__02/NNG 적/XSN (으)로/JKB_FNS 굳어지/VV 고/EC 있/VX 었/EP 다/EF
5,그러나/MAJ 어머니/NNG 의/JKG 교회__02/NNG 행__x07/NNG 은/JX 그것/NP (으)로/JKB_FNS 끝/NNG 이/JKS 나/VV 았/EP 다/EF
6,그/MM 사실__04/NNG 이/JKS 진정__05/NNG (으)로/JKB_FNS 나/NP 는/JX 기쁘/VA 었/EP 다/EF
7,이런/MM 녀석/NNB 은/JX 진짜/NNG (으)로/JKB_FNS 혼__02/NNG 이/JKS 나/VV 아야/EC 하/VX 아/EF
8,둘/NR 이/JKS 말없이/MAG 그런/MM 상태__01/NNG (으)로/JKB_FNS 한참/NNG 동안__01/NNG 앉/VV 아/EC 있/VX 었/EP 다/EF
9,처음/NNG (으)로/JKB_FNS 바깥/NNG 풍경__01/NNG 이/JKS 눈__01/NNG 에/JKB 들어오/VV 았/EP 다/EF
10,인간__01/NNG 이/JKS 갑작스레/MAG 앙골라/NNP 토끼/NNG (으)로/JKB_FNS 변하/VV 았/EP 기/ETN 때문/NNB 은/JX 아니/VCN 다/EF
11,정직__01/NNG 하/XSA ᆫ/ETM 계산__01/NNG 과/JC 믿음/NNG 이/JKS 당신/NP 을/JKO 스타/NNG (으)로/JKB_FNS 만들/VV ᄇ니다/EF
12,그런/MM 합의__01/NNG 와/JC 합심/NNG 이/JKS 저/NP 들/XSN 을/JKO 강국__01/NNG (으)로/JKB_FNS 만들/VV 었/EP 다/EF
13,이것/NP 이/JKS 넋두리/NNG (으)로/JKB_FNS 나타나/VV ᆫ다/EF
14,이런/MM 추세__03/NNG (으)로/JKB_FNS 언제/NP 까지/JX 인간__01/NNG 이/JKS 건강__03/NNG 하/XSA ᆯ/ETM 수__02/NNB 있/VV 을까/EF
15,반장__08/NNG 이/JKS 처음/NNG (으)로/JKB_FNS 말__01/NNG 을/JKO 거들__01/VV 었/EP 다/EF
16,공범/NNG 들/XSN 이/JKS 모두/MAG 가/XPN 석방/NNG (으)로/JKB_FNS 나오/VV 았/EP 어요/EF
17,휴전__03/NNG (으)로/JKB_FNS 끝/NNG 이/JKS 나/VV 고/EC 말/VX 았/EP 다/EF
18,예술/NNG 은/JX 예술/NNG 작품__01/NNG 자체__02/NNG 만/JX (으)로/JKB_FNS 는/JX 생명력/NNG 이/JKS 없/VA 다/EF
