Number,Sentence
0,굿/NNG 무당__01/NNG 이/JKS 노래/NNG 나/JC 춤__01/NNG (으)로/JKB_INS 귀신__01/NNG 에게/JKB 치성__01/NNG 드리__01/VV 는/ETM 의식__04/NNG
1,수한/NNP 이/JKS 저/NP 의/JKG 손__01/NNG (으)로/JKB_INS 저/NP 의/JKG 가슴__01/NNG 을/JKO 열__02/VV 었/EP 다/EF
2,그때/NNG 두/MM 카메라맨/NNG 이/JKS 인터컴/NNG (으)로/JKB_INS 대화__06/NNG 를/JKO 하/VV ᆫ다/EF
3,이/NNP 선생__01/NNG 이/JKS 턱__01/NNG (으)로/JKB_INS 배/NNP 선생__01/NNG 교실/NNG 을/JKO 가리키__01/VV 었/EP 다/EF
4,병경이/NNP 형__01/NNG 이/JKS 주먹/NNG (으)로/JKB_INS 신랑__02/NNG 의/JKG 뺨/NNG 을/JKO 콱/MAG 쥐어박/VV 았/EP 다/EF
5,조/NNP 차장/NNG 이/JKS 손가락/NNG 끝__01/NNG (으)로/JKB_INS 나/NP ᆯ/JKO 가리키__01/VV 었/EP 다/EF
6,효철/NNP 이/JKS 손등__01/NNG (으)로/JKB_INS 다희/NNP 의/JKG 젖가슴/NNG 을/JKO 툭툭/MAG 건드리/VV 었/EP 다/EF
7,내/NP 참/IC 속__01/NNG (으)로/JKB_INS 체증__01/NNG 이/JKS 나/VV 았/EP 지요/EF
8,저녁/NNG 차__06/NNG (으)로/JKB_INS 내려가/VV 아/EC 보/VX 아야/EC 하/VX 겠/EP 어요/EF
9,틀바느질/NNG 재봉틀/NNG (으)로/JKB_INS 바느질/NNG 선__14/NNG 을/JKO 박/VV 는/ETM 일__01/NNG
10,중년__01/NNG 이/JKS 눈__01/NNG (으)로/JKB_INS 대답/NNG 하/XSV 았/EP 고/EC 소년/NNG 이/JKS 묻__03/VV 었/EP 다/EF
11,그렇지만/MAJ 애쓰/VV 어/EC 명랑/NNG 하/XSA ᆫ/ETM 목소리/NNG (으)로/JKB_INS 말__01/NNG 하/XSV 았/EP 다/EF
12,아버지/NNG 는/JX 크/VA ᆫ/ETM 소리__01/NNG (으)로/JKB_INS 의기양양/NNG 하/XSA 게/EC 말__01/NNG 하/XSV 았/EP 다/EF
13,삼베/NNG 버선/NNG (으)로/JKB_INS 땀__01/NNG 이/JKS 배어나/VV 오/EP ᆫ다/EF
14,달__05/NNG 님/XSN 이/JKS 엄마/NNG 목소리/NNG (으)로/JKB_INS 가만히/MAG 부르/VV 었/EP 습니다/EF
15,두/MM 주먹/NNG (으)로/JKB_INS 술상/NNG 을/JKO 내리치__01/VV 었/EP 다/EF
16,열쇠/NNG (으)로/JKB_INS 꼭꼭__01/MAG 채우__03/VV 어/EC 두/VX 는/ETM 모습__01/NNG 들/XSN 이/VCP 다/EF
17,엄마/NNG 는/JX 기어코/MAG 옷고름/NNG (으)로/JKB_INS 눈물__01/NNG 을/JKO 찍__02/VV 어/EC 내/VX 었/EP 다/EF
18,효철/NNP 은/JX 경멸/NNG 하/XSV 는/ETM 눈빛__01/NNG (으)로/JKB_INS 정혜/NNP 를/JKO 쏘아보/VV 았/EP 다/EF
19,욕실/NNG 은/JX 수증기/NNG (으)로/JKB_INS 가득/MAG 차__01/VV 았/EP 습니다/EF
20,토끼/NNG 들/XSN 한/MM 목소리/NNG (으)로/JKB_INS 참꽃/NNG 이/JKS 피__01/VV 었/EP 구나/EF
21,거리__01/NNG 는/JX 연일__01/NNG 최루탄/NNG 연기__09/NNG (으)로/JKB_INS 뒤덮이/VV 었/EP 다/EF
22,직공__02/NNG 들/XSN 이/JKS 기숙사/NNG (으)로/JKB_INS 쓰__03/VV 던/ETM 방__07/NNG 도/JX
23,화냥년/NNG 갈보/NNG 년__01/NNB 걸레짝/NNG (으)로/JKB_INS 도/JX 못/MAG 쓰__03/VV ᆯ/ETM 년__01/NNB
24,그/NP 들/XSN 넷/NR 은/JX 모두/MAG 속__01/NNG (으)로/JKB_INS 안도__02/NNG 의/JKG 한숨__02/NNG 을/JKO 내쉬/VV ᆫ다/EF
25,그/NP 는/JX 분노/NNG (으)로/JKB_INS 치__12/NNG 를/JKO 떨__01/VV 었/EP 다/EF
