Number,Sentence
0,나/NP 의/JKG 마음__01/NNG 의/JKG 움직임/NNG 이/JKS 위__01/NNG 에서부터/JKB 아래__01/NNG (으)로/JKB_DIR 내려가/VV ᆫ다/EF
1,신축__03/NNG 전원주택/NNG 위쪽/NNG (으)로/JKB_DIR 는/JX 집__01/NNG 이/JKS 없/VA 었/EP 다/EF
2,쇠전__01/NNG 꾼/XSN 들/XSN 이/JKS 술청/NNG (으)로/JKB_DIR 돌아오/VV 았/EP 다/EF
3,그녀/NP 의/JKG 오른발/NNG 이/JKS 위__01/NNG (으)로/JKB_DIR 치솟/VV 았/EP 다/EF
4,두/MM 사람/NNG 이/JKS 동시__02/NNG 에/JKB 밖/NNG (으)로/JKB_DIR 튀어나오/VV 았/EP 다/EF
5,박/NNP 이/JKS 창밖/NNG (으)로/JKB_DIR 시선__03/NNG 을/JKO 던지/VV 며/EC 말__01/NNG 하/XSV 았/EP 다/EF
6,그때/NNG 수행원/NNG 한/MM 사람/NNG 이/JKS 뒷자리/NNG (으)로/JKB_DIR 천천히/MAG 다가오/VV 았/EP 다/EF
7,끼익/MAG 몸__01/NNG 이/JKS 앞/NNG (으)로/JKB_DIR 쏠리/VV 었/EP 다/EF
8,청년/NNG 은/JX 손__01/NNG 이/JKS 조끼__01/NNG (으)로/JKB_DIR 가/VV ᆫ다/EF
9,일제히/MAG 수십/NR 개/NNB 의/JKG 화살__01/NNG 이/JKS 하늘/NNG (으)로/JKB_DIR 날아오르/VV 았/EP 다/EF
10,나/NP 는/JX 속__01/NNG (으)로/JKB_DIR 웃음/NNG 이/JKS 나오/VV 았/EP 다/EF
11,노인__01/NNG 한/MM 사람/NNG 이/JKS 주저주저/MAG 앞/NNG (으)로/JKB_DIR 나오/VV 았/EP 다/EF
12,갑자기/MAG 한줄기/NNG 눈물__01/NNG 이/JKS 뺨/NNG 위__01/NNG (으)로/JKB_DIR 주르륵/MAG 흘러내리/VV 었/EP 다/EF
13,그/MM 손__01/NNG 이/JKS 방바닥/NNG (으)로/JKB_DIR 떨어지/VV 었/EP 다/EF
