Number,Sentence
0,기억/NNG 이/JKS 스스로/NNG 의/JKG 부력__01/NNG (으)로/JKB_EFF 떠오르/VV 았/EP 겠/EP 지/EF
1,그리고/MAJ 그/MM 결과__02/NNG (으)로/JKB_EFF 오줌/NNG 이/JKS 나오/VV ᆫ다/EF
2,온몸/NNG 이/JKS 땀__01/NNG (으)로/JKB_EFF 흠뻑/MAG 젖__01/VV 어/EC 있/VX 었/EP 다/EF
3,가동__07/NNG 률/XSN 증가__01/NNG (으)로/JKB_EFF 구미공단/NNP 에/JKB 근로자/NNG 들/XSN 이/JKS 되돌아오/VV 고/EC 있/VX 다/EF
4,통령/NNG 정부__08/NNG 프랑스/NNP 혁명/NNG 때__01/NNG 나폴레옹/NNP 이/JKS 쿠데타/NNG (으)로/JKB_EFF 세우__01/VV ᆫ/ETM 정부__08/NNG
5,오랜/MM 장마__01/NNG (으)로/JKB_EFF 냇물/NNG 이/VCP 며/EC 강물/NNG 들/XSN 이/JKS 출렁출렁/MAG 넘쳐흐르/VV ᆫ다/EF
6,고속도로/NNG 변__09/NNG 이/JKS 쓰레기/NNG (으)로/JKB_EFF 몸살__01/NNG 을/JKO 앓/VV 고/EC 있/VX 다/EF
7,거리__01/NNG 는/JX 오토바이/NNG 와/JC 자동차/NNG 들/XSN 그리고/MAJ 인파/NNG (으)로/JKB_EFF 정신__12/NNG 이/JKS 없/VA 다/EF
8,피서객/NNG 들/XSN (으)로/JKB_EFF 전국__03/NNG 이/JKS 붐비/VV 는/ETM 8/SN 월/NNB
9,온몸/NNG 이/JKS 땀__01/NNG (으)로/JKB_EFF 후줄근/XR 하/XSA 게/EC 젖__01/VV 어/EC 있/VX 었/EP 다/EF
10,유기질/NNG 비료/NNG 공장__02/NNG 문제__06/NNG (으)로/JKB_EFF 정신__12/NNG 이/JKS 없/VA 습니다/EF
11,평범/XR 하/XSA ᆫ/ETM 그/MM 말__01/NNG 들/XSN (으)로/JKB_EFF 여가__03/NNG 는/JX 끝나/VV ᆫ다/EF
12,우즈/NNP 복귀/NNG 첫날/NNG 짙/VA 은/ETM 안개/NNG (으)로/JKB_EFF 경기__11/NNG 중단__04/NNG
13,돌연/MAG 하/XSA ᆫ/ETM 슬픔/NNG (으)로/JKB_EFF 목__01/NNG 이/JKS 메__02/VV 었/EP 다/EF
14,계속__04/NNG 되/XSV 는/ETM 불행/NNG (으)로/JKB_EFF 마을__01/NNG 이/JKS 온통/MAG 쑥밭/NNG 이/JKC 되__01/VV 었/EP 다/EF
15,연속__02/NNG 실책/NNG 성/XSN 플레이/NNG (으)로/JKB_EFF 천보성/NNP 감독__02/NNG 의/JKG 속__01/NNG 을/JKO 태우__01/VV ᆫ다/EF
16,그/MM 덕택/NNG (으)로/JKB_EFF 우리/NP 는/JX 나라/NNG 를/JKO 되찾/VV 은/ETM 것/NNB 이/VCP ᄇ니다/EF
17,몸__01/NNG 은/JX 땀__01/NNG (으)로/JKB_EFF 범벅/NNG 이/JKC 되__01/VV 어/EC 있/VX 었/EP 다/EF
18,따라서/MAJ 칼슘/NNG 방출__01/NNG 의/JKG 증가__01/NNG (으)로/JKB_EFF 골다공증/NNG 의/JKG 현상__04/NNG 이/JKS 일어나/VV ᆫ다/EF
19,오늘/NNG 은/JX 또/MAG 무슨/MM 일__01/NNG (으)로/JKB_EFF 저러/VV 는/ETM 것/NNB 이/VCP ᆯ까/EF
20,하늘/NNG 을/JKO 가리__02/VV ᆫ/ETM 먹구름/NNG (으)로/JKB_EFF 사방__03/NNG 이/JKS 어둑/XR 하/XSA 다/EF
21,등산/NNG (으)로/JKB_EFF 다지/VV ᆫ/ETM 왕성__02/NNG 하/XSA ᆫ/ETM 체력/NNG 이/JKS 자랑/NNG
22,고문__04/NNG 후유증/NNG (으)로/JKB_EFF 건구역__05/NNG 질/XSN 불안__01/NNG 우울증/NNG 에/JKB 시달리/VV 었/EP 다/EF
23,웨이크필드/NNP 는/JX 이날/NNG 경기__11/NNG 초반__01/NNG 제구력/NNG 난조__01/NNG (으)로/JKB_EFF 어려움/NNG 을/JKO 겪/VV 었/EP 다/EF
24,그/NP (으)로/JKB_EFF 인하__01/VV ᆫ/ETM 무한대/NNG 의/JKG 수입__01/NNG 창출__01/NNG
25,가슴속/NNG 이/JKS 온통/MAG 분노/NNG (으)로/JKB_EFF 소용돌이치/VV 었/EP 기/ETN 때문/NNB 이/VCP 었/EP 다/EF
26,침묵/NNG 은/JX 금세/MAG 웃음/NNG (으)로/JKB_EFF 얼버무리/VV 어/EC 지/VX 었/EP 다/EF
27,수치__03/NNG 와/JC 분노/NNG (으)로/JKB_EFF 그녀/NP 는/JX 부르르/MAG 몸__01/NNG 을/JKO 떨__01/VV 었/EP 다/EF
28,대학__01/NNG 전체__01/NNG 가/JKS 몇/MM 달__05/NNG 동안__01/NNG 그/MM 준비/NNG (으)로/JKB_EFF 들끓/VV 었/EP 다/EF
29,얼굴/NNG 이/JKS 상처__02/NNG 와/JC 땀__01/NNG (으)로/JKB_EFF 범벅/NNG 이/JKC 되__01/VV 고/EC 말__01/NNG 이/VCP 에요/EF
30,정치__03/NNG 권/XSN 이/JKS 신/XPN 당__14/NNG 이야기/NNG (으)로/JKB_EFF 어지럽/VA 다/EF
31,폭격/NNG (으)로/JKB_EFF 잿더미/NNG 가/JKC 되__01/VV ᆫ/ETM 마을__01/NNG 이/VCP 었/EP 습니다/EF
32,그리__02/MAG 하/XSV 아서/EC 농자천하지대본/NNG (으)로/JKB_EFF 우리/NP 풍년/NNG 만들/VV 어/EC 보/VX 자/EF
33,지난해/NNG 집중__02/NNG 호우__05/NNG (으)로/JKB_EFF 엉망/NNG 이/JKC 되__01/VV 었/EP 던/ETM 용인/NNP 가족__01/NNG 묘지__02/NNG
34,말__01/NNG 하/XSV 는/ETM 이빨/NNG 사이__01/NNG 와/JC 혓바닥/NNG 도/JX 탄가루/NNG (으)로/JKB_EFF 새까맣/VA 았/EP 다/EF
35,아이__01/NNG 들/XSN 은/JX 너나없이/MAG 땀__01/NNG (으)로/JKB_EFF 물쥐/NNG 처럼/JKB 젖__01/VV 어/EC 있/VX 었/EP 다/EF
36,하지만/MAJ 주가__05/NNG 폭락/NNG 만/JX (으)로/JKB_EFF 사태__06/NNG 는/JX 그치/VV 지/EC 않/VX 았/EP 다/EF
37,6/SN 25/SN 전쟁/NNG (으)로/JKB_EFF 집안__01/NNG 이/JKS 풍비박산/NNG 이/JKC 되__01/VV 었/EP 다/EF
38,어머니/NNG 의/JKG 얼굴/NNG 은/JX 눈물__01/NNG (으)로/JKB_EFF 흠뻑/MAG 젖__01/VV 어/EC 있/VX 었/EP 다/EF
39,심포지움/NNG 사건__01/NNG (으)로/JKB_EFF 일주일/NNG 간__10/NNB 경찰서/NNG 에서/JKB 조사__30/NNG 를/JKO 받__01/VV 았/EP 다/EF
40,레스토랑/NNG 은/JX 정장__04/NNG 의/JKG 남녀/NNG 들/XSN (으)로/JKB_EFF 제법/MAG 붐비/VV 었/EP 다/EF
41,그/NP 의/JKG 얼굴/NNG 은/JX 괴로움/NNG 과/JC 분노/NNG (으)로/JKB_EFF 일그러지/VV 었/EP 다/EF
